ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,longitude,latitude
RCTP,large_airport,Taiwan Taoyuan International Airport,106.0,AS,TW,TW-TAO,Taipei,RCTP,TPE,,121.233002,25.0777
RJAA,large_airport,Narita International Airport,141.0,AS,JP,JP-12,Tokyo,RJAA,NRT,,140.386001587,35.7647018433
RJTT,large_airport,Tokyo Haneda International Airport,35.0,AS,JP,JP-13,Tokyo,RJTT,HND,,139.779999,35.552299
RKSI,large_airport,Incheon International Airport,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,126.45099639892578,37.46910095214844
SAEZ,large_airport,Ministro Pistarini International Airport,67.0,SA,AR,AR-B,Buenos Aires,SAEZ,EZE,EZE,-58.5358,-34.8222
SBGL,large_airport,Rio Galeão – Tom Jobim International Airport,28.0,SA,BR,BR-RJ,Rio De Janeiro,SBGL,GIG,,-43.2505569458,-22.8099994659
SBGR,large_airport,Guarulhos - Governador André Franco Montoro International Airport,2459.0,SA,BR,BR-SP,São Paulo,SBGR,GRU,,-46.47305679321289,-23.435556411743164
SCEL,large_airport,Comodoro Arturo Merino Benítez International Airport,1555.0,SA,CL,CL-RM,Santiago,SCEL,SCL,,-70.78579711914062,-33.393001556396484
SEGU,medium_airport,José Joaquín de Olmedo International Airport,19.0,SA,EC,EC-G,Guayaquil,SEGU,GYE,,-79.88359832760001,-2.1574199199699997
SEQM,large_airport,Mariscal Sucre International Airport,7841.0,SA,EC,EC-P,Quito,SEQM,UIO,UIO,-78.3575,-0.129166666667
SKBO,large_airport,El Dorado International Airport,8361.0,SA,CO,CO-CUN,Bogota,SKBO,BOG,BOG,-74.1469,4.70159
SKCG,medium_airport,Rafael Nuñez International Airport,4.0,SA,CO,CO-BOL,Cartagena,SKCG,CTG,CTG,-75.513,10.4424
SKRG,medium_airport,Jose Maria Córdova International Airport,6955.0,SA,CO,CO-ANT,Medellín,SKRG,MDE,MDE,-75.4231,6.16454
SPIM,large_airport,Jorge Chávez International Airport,113.0,SA,PE,PE-LIM,Lima,SPJC,LIM,,-77.114305,-12.0219
SYCJ,medium_airport,Cheddi Jagan International Airport,95.0,SA,GY,GY-DE,Georgetown,SYCJ,GEO,SYGT,-58.25410079956055,6.498549938201904
TAPA,medium_airport,V.C. Bird International Airport,62.0,,AG,AG-03,St. John's,TAPA,ANU,,-61.792702,17.1367
TBPB,medium_airport,Sir Grantley Adams International Airport,169.0,,BB,BB-01,Bridgetown,TBPB,BGI,,-59.4925003052,13.0746002197
TFFF,medium_airport,Martinique Aimé Césaire International Airport,16.0,,MQ,MQ-U-A,Fort-de-France,TFFF,FDF,,-61.00320053100586,14.590999603271484
TFFR,large_airport,Pointe-à-Pitre Le Raizet,36.0,,GP,GP-U-A,Pointe-à-Pitre,TFFR,PTP,,-61.531799,16.265301
TGPY,medium_airport,Point Salines International Airport,41.0,,GD,GD-GE,Saint George's,TGPY,GND,,-61.78620147705078,12.004199981689453
TKPK,medium_airport,Robert L. Bradshaw International Airport,170.0,,KN,KN-U-A,Basseterre,TKPK,SKB,,-62.71870040893555,17.311199188232422
TLPL,medium_airport,Hewanorra International Airport,14.0,,LC,LC-11,Vieux Fort,TLPL,UVF,,-60.952599,13.7332
TNCA,medium_airport,Queen Beatrix International Airport,60.0,,AW,AW-U-A,Oranjestad,TNCA,AUA,,-70.015198,12.5014
TNCC,medium_airport,Hato International Airport,29.0,,CW,CW-U-A,Willemstad,TNCC,CUR,,-68.959801,12.1889
TNCM,large_airport,Princess Juliana International Airport,13.0,,SX,SX-U-A,Saint Martin,TNCM,SXM,,-63.1088981628,18.041000366200002
TR-0043,large_airport,İstanbul New Airport,1858.0,AS,TR,TR-34,,LTFM,IST,,28.74133,41.262948
TTCP,medium_airport,Tobago-Crown Point Airport,38.0,,TT,TT-WTO,Scarborough,TTCP,TAB,,-60.83219909667969,11.149700164794922
TTPP,medium_airport,Piarco International Airport,58.0,,TT,TT-TUP,Port of Spain,TTPP,POS,,-61.33720016479492,10.595399856567383
TXKF,medium_airport,L.F. Wade International International Airport,12.0,,BM,BM-U-A,Hamilton,TXKF,BDA,,-64.67870330810547,32.36399841308594
UBBB,large_airport,Heydar Aliyev International Airport,10.0,AS,AZ,AZ-BA,Baku,UBBB,GYD,,50.04669952392578,40.467498779296875
UKBB,large_airport,Boryspil International Airport,427.0,EU,UA,UA-32,Kiev,UKBB,KBP,,30.894699096679688,50.345001220703125
UUEE,large_airport,Sheremetyevo International Airport,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,,37.4146,55.972599
VHHH,large_airport,Hong Kong International Airport,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,113.915001,22.308901
VIDP,large_airport,Indira Gandhi International Airport,777.0,AS,IN,IN-DL,New Delhi,VIDP,DEL,,77.103104,28.5665
ZBAA,large_airport,Beijing Capital International Airport,116.0,AS,CN,CN-11,Beijing,ZBAA,PEK,,116.58499908447266,40.080101013183594
ZGGG,large_airport,Guangzhou Baiyun International Airport,50.0,AS,CN,CN-44,Guangzhou,ZGGG,CAN,,113.29900360107422,23.39240074157715
ZSFZ,large_airport,Fuzhou Changle International Airport,46.0,AS,CN,CN-35,Fuzhou,ZSFZ,FOC,,119.66300201416016,25.935100555419922
ZSPD,large_airport,Shanghai Pudong International Airport,13.0,AS,CN,CN-31,Shanghai,ZSPD,PVG,,121.80500030517578,31.143400192260742
ZUCK,large_airport,Chongqing Jiangbei International Airport,1365.0,AS,CN,CN-50,Chongqing,ZUCK,CKG,,106.64199829101562,29.719200134277344
ZUUU,large_airport,Chengdu Shuangliu International Airport,1625.0,AS,CN,CN-51,Chengdu,ZUUU,CTU,,103.9469985961914,30.578500747680664
